Unnamed: 0,product_smiles,reaction_class,
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1=CCCCC1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccccc1C#N,LLM,File1
,CC(Br)CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(Br)CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccccc1C#N,LLM,File1
,Cc1ccc(C(O)CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cccc(F)c1F,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1Cc2ccccc2C1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(F)cc1F,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1c(F)cccc1F,LLM,File1
,Cc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c(C)n1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1cccc(Cl)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCC1CCCC1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1cccc(F)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(F)c(F)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(F)cc(F)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1cc(F)cc(F)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(C(=O)N(C)C)cc1,LLM,File1
,CC(=O)c1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(C#N)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc2c(c1)C(=O)c1ccccc1CO2,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc2c(c1)C(=O)c1ccccc1CO2,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(-c2ccccc2)nc2ccccc12,LLM,File1
