nanoChem-generated mosquito worklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers of components in each group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleophile (N): 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst1 (C): 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligand1 (L): 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReductantOxidant (O): 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Plate 1 Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N1.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N2.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N3.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1,L1.C1.N4.O1
